S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
371,2020-03-10,7,80.00,4160.00,52.00,52.00,52.00
372,2020-03-05,31,760.00,39780.00,53.00,52.00,53.00
373,2020-03-04,53,880.00,47340.00,56.00,53.00,53.00
374,2020-03-03,36,590.00,32370.00,56.00,54.00,55.00
375,2020-03-02,13,660.00,36930.00,56.00,55.00,56.00
376,2020-03-01,57,3190.00,182640.00,60.00,56.00,56.00
377,2020-02-27,43,2840.00,168700.00,60.00,58.00,59.00
378,2020-02-26,43,1560.00,93060.00,61.00,58.00,61.00
379,2020-02-25,64,6215.00,372715.00,61.00,56.00,61.00
380,2020-02-24,40,4254.00,244768.00,58.00,57.00,57.00
381,2020-02-23,38,800.00,45190.00,59.00,55.00,58.00
382,2020-02-20,36,3160.00,181980.00,58.00,56.00,56.00
383,2020-02-19,32,1460.00,82110.00,57.00,55.00,57.00
384,2020-02-18,40,1240.00,68940.00,56.00,54.00,56.00
385,2020-02-17,50,4960.00,281570.00,57.00,54.00,57.00
386,2020-02-16,25,2088.00,114830.00,56.00,54.00,56.00
387,2020-02-13,35,1610.00,90670.00,57.00,54.00,55.00
388,2020-02-12,22,930.00,51990.00,58.00,53.00,56.00
389,2020-02-11,35,1610.00,89220.00,58.00,53.00,54.00
390,2020-02-10,17,240.00,13020.00,55.00,53.00,54.00
391,2020-02-09,34,2990.00,163730.00,57.00,54.00,55.00
392,2020-02-06,26,617.00,34744.00,57.00,55.00,56.00
393,2020-02-05,25,380.00,20980.00,58.00,54.00,58.00
394,2020-02-04,53,7209.00,395054.00,58.00,52.00,56.00
395,2020-02-03,73,21430.00,1122965.00,56.00,50.00,55.00
396,2020-02-02,37,660.00,36060.00,56.00,53.00,54.00
397,2020-01-30,41,1060.00,58720.00,56.00,54.00,55.00
398,2020-01-29,26,1200.00,66830.00,56.00,55.00,55.00
399,2020-01-28,26,1391.00,77496.00,56.00,54.00,56.00
400,2020-01-27,27,4540.00,253550.00,56.00,55.00,56.00
401,2020-01-26,38,3690.00,209050.00,59.00,55.00,56.00
